# PVL-001 EV-6a (#4139): contract `lean_theorem:` LABELS that name no theorem, file or domain in the tree.
# A non-increasing ratchet: `pv discharge check` fails a label that is not listed here, and one listed here
# that now resolves. `pv discharge check <lean-dir> --update-baseline` only ever removes lines.
absolute-position-v1	Theorems.AbsolutePosition.Core
active-learning-v1	Theorems.Entropy_Score
active-learning-v1	Theorems.Margin_Score
active-learning-v1	Theorems.Qbc_Score
active-learning-v1	Theorems.Uncertainty_Score
agent-loop-v1	Theorems.Agent_State_Machine
agent-loop-v1	Theorems.Context_Compaction
agent-loop-v1	Theorems.Crash_Recovery
agent-loop-v1	Theorems.Hook_Ordering
agent-loop-v1	Theorems.Loop_Termination
agent-loop-v1	Theorems.Parallel_Tool_Safety
agent-loop-v1	Theorems.Sandbox_Enforcement
agent-orchestration-v1	Theorems.Daemon_Lifecycle
agent-orchestration-v1	Theorems.Error_Classification
agent-orchestration-v1	Theorems.Manager_Registration
agent-orchestration-v1	Theorems.RED_Metrics
agent-orchestration-v1	Theorems.Restart_Policy
agent-orchestration-v1	Theorems.Signal_Handling
agent-ux-v1	Theorems.Brick_Verification
agent-ux-v1	Theorems.Contrast_Accessibility
agent-ux-v1	Theorems.Cost_Display_Accuracy
agent-ux-v1	Theorems.Frame_Budget
agent-ux-v1	Theorems.Layout_Correctness
agent-ux-v1	Theorems.Pixel_Coverage
agent-ux-v1	Theorems.State_Machine_Validity
agent-ux-v1	Theorems.Streaming_Responsiveness
alibi-slopes-v1	Theorems.Alibi_Slope_Exponent
apr-architecture-schema-v1	Theorems.ArchitectureConfigInvariants
apr-architecture-schema-v1	Theorems.ArchitectureOracleDetection
apr-architecture-schema-v1	Theorems.AttentionTensorShapes
apr-architecture-schema-v1	Theorems.EmbeddingTensorShapes
apr-architecture-schema-v1	Theorems.FfnTensorShapes
apr-architecture-schema-v1	Theorems.LayerCountConsistency
apr-architecture-schema-v1	Theorems.NormalizationTensorShapes
apr-architecture-schema-v1	Theorems.RopePositionEncoding
apr-architecture-schema-v1	Theorems.TensorNameRecognition
apr-architecture-schema-v1	Theorems.TotalTensorCount
apr-chat-session-v1	Theorems.ChatTemplateApplication
apr-chat-session-v1	Theorems.KvCacheManagement
apr-chat-session-v1	Theorems.SessionPersistence
apr-chat-session-v1	Theorems.SessionStateMachine
apr-checkpoint-v1	Theorems.LoadCheckpoint
apr-checkpoint-v1	Theorems.SaveCheckpoint
apr-cli-longrunning-v1	Theorems.Concurrent_Isolation
apr-cli-longrunning-v1	Theorems.Graceful_Shutdown
apr-cli-longrunning-v1	Theorems.Resource_Cleanup
apr-cli-mutating-v1	Theorems.Atomic_Write_Safety
apr-cli-mutating-v1	Theorems.Exit_Code_On_Error
apr-cli-mutating-v1	Theorems.Output_Path_Validation
apr-cli-mutating-v1	Theorems.Rm_Confirmation_Gate
apr-cli-operations-v1	Theorems.Concurrent_Model_Access
apr-cli-operations-v1	Theorems.Inference_Determinism
apr-cli-operations-v1	Theorems.Progress_Reporting
apr-cli-operations-v1	Theorems.Resource_Cleanup
apr-cli-operations-v1	Theorems.Side_Effect_Classification
apr-cli-operations-v1	Theorems.Tokenizer_Consistency
apr-cli-readonly-v1	Theorems.Idempotent_Output
apr-cli-readonly-v1	Theorems.No_Side_Effects
