id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
batch-status-not-accumulated	text	907	KILLED	1	62	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	    RC=$RC
book-removed-from-b4-scope	text	204	KILLED	1	4	row 16 the diff publishes a ratio, nothing records it           RED  B4	    crates/*/src/*.rs|src/*.rs) return 0 ;;
comparative-competitor-list-matches-everything	text	113	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	COMPETITOR_RE='(.)'
comparative-competitor-list-never-matches	text	113	KILLED	1	6	row 16 the diff publishes a ratio, nothing records it           RED  B4	COMPETITOR_RE='(^$)'
comparative-gap-bound-unbounded	text	112	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	RATIO_GAP_RE='(([A-Za-z]+([.-][A-Za-z]+)*|[A-Za-z]{1,3}\.)[[:space:]]+){0,99}'
comparative-left-boundary-dropped	text	110	KILLED	1	1	S3.C.1 comparative-claim detection matches its case table, both polarities	RATIO_LEFT_RE='(^|.)'
comparative-mult-sign-ascii-only	text	111	KILLED	1	3	row 16 the diff publishes a ratio, nothing records it           RED  B4	MULT_RE='(x)'
comparative-predicate-verdict-not-propagated	text	233	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	  --match-comparative) match_comparative  "${2?--match-comparative needs an argument}"; exit 1 ;;
comparator-misclassified-B1	text	697	KILLED	1	1	row 4  comparative claim with no comparator command or hash       RED  B4	    reject B1 "$claim" || return 1
control-1-unarmed	text	862	KILLED	1	1	S6.1 the schema-depth control is measured against the VENDORED schema	run_control schema-invalid B1 "fails schemas/in-toto-statement-v1.json" "$PC1" || true
control-2-unarmed	text	886	KILLED	1	3	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	seeded_control self-review     self-review     B2 "reviewer_actor.id ="        || true
control-3-unarmed	text	887	KILLED	1	2	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	seeded_control findings-digest findings-digest B1 "findings_ref.sha256"        || true
control-4-unarmed	text	888	KILLED	1	1	S6.1 EVERY control stops the run when it misfires, not just the first	seeded_control cost-missing    cost-missing    B1 "predicate.cost must carry"  || true
control-acceptance-ignored	text	817	KILLED	1	1	S6.1 a positive control that is ACCEPTED fails the whole run	  if validate_receipt "$dir" && false; then
control-class-unasserted	text	826	KILLED	1	1	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	  if false; then
control-fixture-absence-ignored	text	870	KILLED	1	1	S6.1 the guard refuses to run at all when a positive-control fixture is gone	  if false; then
control-reason-unasserted	text	837	KILLED	1	3	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	    *) ;;
crux-surface-predicate-verdict-not-propagated	text	235	KILLED	1	1	S3.C surface trigger matches its case table, both polarities	  --match-crux-surface)    match_crux_surface    "${2?--match-crux-surface needs an argument}";    exit 1 ;;
crux-surface-regex-matches-everything	text	136	KILLED	1	13	S6.1 all four positive controls fire before anything is validated	CRUX_SURFACE_RE='(.)'
crux-surface-regex-never-matches	text	136	KILLED	1	1	S3.C surface trigger matches its case table, both polarities	CRUX_SURFACE_RE='(^$)'
cuda-message-regex-matches-everything	text	70	KILLED	1	15	S6.1 all four positive controls fire before anything is validated	CUDA_MSG_RE='(.)'
cuda-message-regex-never-matches	text	70	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	CUDA_MSG_RE='(^$)'
cuda-path-regex-matches-everything	text	60	KILLED	1	15	S6.1 all four positive controls fire before anything is validated	CUDA_PATH_RE='(.)'
cuda-path-regex-never-matches	text	60	KILLED	1	2	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	CUDA_PATH_RE='(^$)'
docs-prose-back-in-b4-scope	text	204	KILLED	1	3	the shipped surface B4 scans matches its case table, both polarities	    crates/*/src/*.rs|src/*.rs|book/*.md|docs/*.md) return 0 ;;
final-status-always-zero	text	910	KILLED	1	62	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	exit 0
message-predicate-verdict-not-propagated	text	232	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	  --match-message)     match_cuda_message "${2?--match-message needs an argument}";     exit 1 ;;
mutation-trigger-predicate-verdict-not-propagated	text	236	KILLED	1	1	S3.D mutation trigger matches its case table, both polarities	  --match-mutation-trigger) match_mutation_trigger "${2?--match-mutation-trigger needs an argument}"; exit 1 ;;
mutation-trigger-regex-matches-everything	text	142	KILLED	1	12	S6.1 all four positive controls fire before anything is validated	MUTATION_TRIGGER_RE='(.)'
mutation-trigger-regex-never-matches	text	142	KILLED	1	2	row 20 mutation not-triggered on a diff changing Rust source   RED  B1	MUTATION_TRIGGER_RE='(^$)'
path-predicate-verdict-not-propagated	text	231	KILLED	1	1	S3.B CUDA path trigger matches its case table, both polarities	  --match-path)        match_cuda_path    "${2?--match-path needs an argument}";        exit 1 ;;
reject-01-drop	drop	322	KILLED	1	1	a receipt directory that does not exist is RED, not skipped	  [ -d "$dir" ]   || true B1 "no such receipt directory: $dir" || return 1
reject-01-flip	flip	322	KILLED	1	73	S6.1 all four positive controls fire before anything is validated	  [ -d "$dir" ]   || reject B1 "no such receipt directory: $dir" && return 1
reject-02-drop	drop	323	KILLED	1	2	a missing receipt is RED, not skipped	  [ -f "$rcpt" ]  || true B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" || return 1
reject-02-flip	flip	323	KILLED	1	73	S6.1 all four positive controls fire before anything is validated	  [ -f "$rcpt" ]  || reject B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" && return 1
reject-03-drop	drop	324	KILLED	1	1	probe findings.sarif absent                                     RED  B1	  [ -f "$sarif" ] || true B1 "findings.sarif is missing" || return 1
reject-03-flip	flip	324	KILLED	1	73	S6.1 all four positive controls fire before anything is validated	  [ -f "$sarif" ] || reject B1 "findings.sarif is missing" && return 1
reject-04-drop	drop	338	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    true B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" || return 1
reject-04-flip	flip	338	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    reject B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" && return 1
reject-05-drop	drop	340	KILLED	1	1	probe receipt that is not parseable JSON                        RED  B1	  jq -e . "$rcpt"  >/dev/null 2>&1 || true B1 "receipt.intoto.jsonl is not parseable JSON" || return 1
reject-05-flip	flip	340	KILLED	1	73	S6.1 all four positive controls fire before anything is validated	  jq -e . "$rcpt"  >/dev/null 2>&1 || reject B1 "receipt.intoto.jsonl is not parseable JSON" && return 1
reject-06-drop	drop	341	KILLED	1	1	probe findings.sarif that is not parseable JSON                 RED  B1	  jq -e . "$sarif" >/dev/null 2>&1 || true B1 "findings.sarif is not parseable JSON" || return 1
reject-06-flip	flip	341	KILLED	1	73	S6.1 all four positive controls fire before anything is validated	  jq -e . "$sarif" >/dev/null 2>&1 || reject B1 "findings.sarif is not parseable JSON" && return 1
reject-07-drop	drop	346	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	    true B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-07-flip	flip	346	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	    reject B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-08-drop	drop	349	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    true B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-08-flip	flip	349	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    reject B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-09-drop	drop	355	KILLED	1	1	probe the public key is absent                                  RED  B1	  [ -f "$PUBKEY" ] || true B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" || return 1
reject-09-flip	flip	355	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -f "$PUBKEY" ] || reject B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" && return 1
reject-10-drop	drop	356	KILLED	1	1	probe the receipt carries no signature at all                   RED  B1	  [ -f "$sig" ]    || true B1 "receipt is unsigned - no $sig" || return 1
reject-10-flip	flip	356	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -f "$sig" ]    || reject B1 "receipt is unsigned - no $sig" && return 1
reject-11-drop	drop	358	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    true B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" || return 1
reject-11-flip	flip	358	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    reject B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" && return 1
reject-12-drop	drop	364	KILLED	1	1	probe predicateType is some other attestation                   RED  B1	  [ "$ptype" = "$PREDICATE_TYPE" ] || true B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" || return 1
reject-12-flip	flip	364	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ "$ptype" = "$PREDICATE_TYPE" ] || reject B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" && return 1
reject-13-drop	drop	367	KILLED	1	1	probe attestation_level claims more than L1-self                RED  B1	  [ "$alevel" = "L1-self" ] || true B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" || return 1
reject-13-flip	flip	367	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ "$alevel" = "L1-self" ] || reject B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" && return 1
reject-14-drop	drop	376	KILLED	1	1	probe head_sha is absent                                        RED  B1	  [ -n "$head" ] || true B1 "predicate.head_sha is absent" || return 1
reject-14-flip	flip	376	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -n "$head" ] || reject B1 "predicate.head_sha is absent" && return 1
reject-15-drop	drop	377	KILLED	1	1	probe base_sha is absent                                        RED  B1	  [ -n "$base" ] || true B1 "predicate.base_sha is absent" || return 1
reject-15-flip	flip	377	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -n "$base" ] || reject B1 "predicate.base_sha is absent" && return 1
reject-16-drop	drop	378	KILLED	1	1	probe the subject digest is not the head the predicate reviews  RED  B1	  [ "$subj_sha" = "$head" ] || true B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" || return 1
reject-16-flip	flip	378	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ "$subj_sha" = "$head" ] || reject B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" && return 1
