id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
control-2-unarmed	text	810	KILLED	1	3	the positive control ABORTS the run when its seed stops refusing	  seeded_quorum_control single-vendor single-vendor Q5 "distinct vendor" || true
control-acceptance-ignored	text	717	KILLED	1	1	the positive control ABORTS the run when its seed stops refusing	  if phase_a "$dir" "$ctx" && false; then
control-class-unasserted	text	726	KILLED	1	1	the positive control ABORTS when it fires under the WRONG class	  if false; then
control-fixture-absence-ignored	text	787	KILLED	1	1	the positive control ABORTS the run when its seed is missing	  if false; then
control-reason-unasserted	text	737	KILLED	1	1	the positive control ABORTS when it fires on the right class but the WRONG BRANCH	    *) ;;
controls-unarmed	text	813	KILLED	1	3	the positive control ABORTS the run when its seed stops refusing	run_all_quorum_controls || true
evidence-prefix-empty	text	113	KILLED	1	1	q-47 an unreviewed commit rides in behind the receipt (S13.3.a)	EVIDENCE_PREFIX_TEMPLATE=''
evidence-prefix-never-matches	text	113	KILLED	1	1	q-53 an evidence-only commit after the reviewed SHA PERMITS (discriminates with q-47)	EVIDENCE_PREFIX_TEMPLATE='no-such-region/'
explain-mode-ignored	text	868	KILLED	1	7	q-39b the SAME receipt permits against the repository without the kill switch	  if false; then
gate-second-spelling-dropped	text	508	KILLED	1	1	q-56 the gate under its OTHER required spelling PERMITS	  gate_conclusion=$(jq -r '.checks["ci / gate"] // "absent"' "$ctx")
guard-shape-matches-everything	text	592	KILLED	1	14	q-39b the SAME receipt permits against the repository without the kill switch	      *)
guard-shape-never-matches	text	592	KILLED	1	1	q-45 a guard-touching diff with a diff-scoped mutation run	      zzz-no-such-shape)
idempotence-check-dropped	text	876	KILLED	1	1	IDEMPOTENT: a PR whose auto-merge is already armed is a no-op, not an error	  if false; then
kill-switch-read-from-the-pr-tree	text	532	KILLED	1	1	q-39 the kill switch on origin/main stops everything, and it is read from origin/main	  if git -C "$REPO" cat-file -e "HEAD:.github/pr-review-autonomy.disabled" 2>/dev/null; then
mechanism-entry-lost	text	96	KILLED	1	1	q-44 a PR that edits the merge MECHANISM does not merge itself (S13.8)	scripts/no-such-guard-here.sh
phase-a-never-runs	text	693	KILLED	1	46	q-04 an UNSIGNED receipt never arms an autonomous merge	  phase_a "$1" "$2" || true
phase-b-never-runs	text	694	KILLED	1	15	q-39 the kill switch on origin/main stops everything, and it is read from origin/main	  phase_b "$1" "$2" || true
receipt-guard-status-ignored	text	555	KILLED	1	2	q-40 a stale index under a PASS verdict is refused by the receipt guard, delegated	  if false; then
refusal-exits-zero	text	900	KILLED	1	66	q-01 a receipt directory that does not exist refuses, it does not skip	exit 0
refuse-01-drop	drop	220	KILLED	1	1	q-01 a receipt directory that does not exist refuses, it does not skip	  [ -d "$dir" ]   || true Q1 "no such receipt directory: $dir; a missing receipt does not arm a merge" || return 1
refuse-01-flip	flip	220	KILLED	1	79	q-01 a receipt directory that does not exist refuses, it does not skip	  [ -d "$dir" ]   || refuse Q1 "no such receipt directory: $dir; a missing receipt does not arm a merge" && return 1
refuse-02-drop	drop	221	KILLED	1	1	q-02 the receipt file is missing	  [ -f "$rcpt" ]  || true Q1 "receipt.intoto.jsonl is missing from $dir; there is nothing to evaluate, so there is nothing to arm" || return 1
refuse-02-flip	flip	221	KILLED	1	79	q-01 a receipt directory that does not exist refuses, it does not skip	  [ -f "$rcpt" ]  || refuse Q1 "receipt.intoto.jsonl is missing from $dir; there is nothing to evaluate, so there is nothing to arm" && return 1
refuse-03-drop	drop	222	KILLED	1	1	q-03 findings.sarif is missing	  [ -f "$sarif" ] || true Q1 "findings.sarif is missing from $dir" || return 1
refuse-03-flip	flip	222	KILLED	1	79	q-01 a receipt directory that does not exist refuses, it does not skip	  [ -f "$sarif" ] || refuse Q1 "findings.sarif is missing from $dir" && return 1
refuse-04-drop	drop	223	KILLED	1	1	q-04 an UNSIGNED receipt never arms an autonomous merge	  [ -f "$sig" ]   || true Q1 "the receipt is unsigned - no $sig; an unsigned receipt never arms an autonomous merge (S4.3)" || return 1
refuse-04-flip	flip	223	KILLED	1	79	q-01 a receipt directory that does not exist refuses, it does not skip	  [ -f "$sig" ]   || refuse Q1 "the receipt is unsigned - no $sig; an unsigned receipt never arms an autonomous merge (S4.3)" && return 1
refuse-05-drop	drop	224	KILLED	1	1	q-05 the receipt is not parseable JSON	  jq -e . "$rcpt"  >/dev/null 2>&1 || true Q1 "receipt.intoto.jsonl is not parseable JSON" || return 1
refuse-05-flip	flip	224	KILLED	1	79	q-01 a receipt directory that does not exist refuses, it does not skip	  jq -e . "$rcpt"  >/dev/null 2>&1 || refuse Q1 "receipt.intoto.jsonl is not parseable JSON" && return 1
