# tool_version=none (candidate set derived by `bash scripts/check_no_silent_truncation.sh --list`)
#
# The instrument is scripts/lib/truncation_scan.py, which carries no version, so this
# declares `none` in the spelling tree_reader_unwired_baseline.txt already uses for a
# derived baseline with no versioned analyser (#3217 requires the declaration; the
# version-comparison loop skips a tool that is not pinned in tools.toml).
#
# ONE DIFFERENCE FROM THAT PRECEDENT, STATED RATHER THAN GLOSSED: it says "regenerate
# with --update". This file has no --update and deliberately will not get one. Only the
# KEY and TEXT columns are derived; the CLASS column is a human reading that no command
# reproduces. A regenerate button would also be the exact laundering vector the KEY note
# below exists to close -- a baseline regenerated to clear churn takes any genuine new
# truncation in the same commit with it. Add a row by hand, with its class and a reason.
# silent_truncation_baseline.txt -- the surface #3904 ratchets down.
#
# THE RULE IS NOT "NEVER TRUNCATE", IT IS "NEVER TRUNCATE SILENTLY". A bare slice makes a
# decapitated message indistinguishable from a complete short one, so the reader cannot
# know to go looking. `... and N more chars` costs nothing and removes the ambiguity --
# that shape already existed four lines below the 5th instance, in the same function.
#
# THE DIVIDING LINE is whether a human reads the string later, DETACHED from what produced
# it. A die() is fine: the reader is present and the command is still on screen. A receipt
# is not: it is read hours later, on another host, by someone who cannot re-run it.
#
# WHY A BASELINE. #3872 fixed the four instances that had been FOUND. Nobody enumerated the
# surface, so the 5th sat untouched in the ladder's own cells judge. Fixing six without a
# guard just waits for the seventh. This file is the enumeration; the guard refuses
# anything not in it.
#
# SHRINK-ONLY. Rows leave when a truncation is fixed and never arrive by regeneration.
# check_no_claim_literals.sh records what happens otherwise: a baseline regenerated to
# clear churn launders whatever genuine violation shares the commit.
#
# KEY = <file>|<sha1-8 of the normalized line>|<n-th identical line in that file>.
# NOT file:line -- inserting a 6-line helper renumbered every row below it and the guard
# reported one NEW violation plus one STALE fix for a line nobody touched. That churn is
# what provokes a regeneration. The occurrence index keeps two identical lines in one file
# from collapsing into one row (the collapse that hid two claims in #3867). Because the key
# hashes the text, the text below is tamper-evident: editing a row to look innocent breaks
# its own key, and the guard checks that.
#
# CLASSES are advisory -- they record a human's reading, and the guard does not take a
# verdict from them, with ONE exception: a row classed `loud` must demonstrably say how
# much it dropped. Without that check `loud` would just be an exemption keyword.
#   display    goes to a human as prose. THE CLASS THAT MATTERS; the PASS line prints it so
#              the ratchet's direction is visible.
#   loud       truncates and SAYS SO. The sanctioned pattern; checked, not taken on trust.
#   fatal      dies immediately -- reader present, context on screen.
#   id-prefix  a deliberate short sha/id; the convention carries the length.
#   numeric    a fixed-width number or a labelled tensor prefix ("First 5:").
#
#
# 86 rows: display=34, fatal=6, id-prefix=7, loud=3, numeric=36
#
# class	key	text
display	crates/aprender-train/scripts/benchmark_cuda_training.py|0500258e|0	print(f" stderr: {result.stderr[:500]}")
display	crates/aprender-train/scripts/benchmark_cuda_training.py|4a0c7150|0	print(f" Output preview: {output[:1000]}")
display	crates/aprender-train/src/transformer/cuda_block.rs|4d37766d|0	eprintln!("[TRACE] uploaded ptr={:?} len={} copy_ok={verify_ok} nonzero={nz} verify[:5]={verify5:?}", buf.as_ptr(), buf.len());
display	scripts/check_kind_labels_derived.sh|b81ad491|0	undecidable.append((r['id'], pid, [str(x)[:70] for x in (r.get('A') or ['-'])][:2]))
display	scripts/check_pathonly_devdeps_unused_in_src.sh|e29ba384|0	print(f"{rel_m}|{alias}|{rel_s}:{n}:{stripped[:100]}")
display	scripts/check_thresholds_in_matrix.sh|553c4ce1|0	"constant `%s`" % stripped[:96]))
display	scripts/check_thresholds_in_matrix.sh|9acbe18d|0	"literal in `%s`" % stripped[:96]))
display	scripts/check_verifier_pinning.sh|5196de0f|0	print("ROW FAIL bypass at line %d: %s" % (n, l[:80]))
display	scripts/generate_golden_traces.py|32e68fd4|0	print(f"Processing: {test_input[:50]}...")
display	scripts/invariance.py|4ae75dee|0	print(f" {n}: {results[n][:300]!r}")
display	scripts/invariance.py|b8440556|0	print(f"INVARIANCE_FAIL all transports agree but the payload is not JSON: {first[:200]!r}")
display	scripts/invariance.py|e8ea38ec|0	print(f" {names[0]}: {first[:300]!r}")
display	scripts/lib/crux_inference_judge.py|75527fee|0	lines += ["", "Greedy divergence (REPORTED, not judged): %s" % json.dumps(r["greedy"])[:600]]
display	scripts/lib/crux_inference_judge.py|877ad529|0	e["why"] = "degenerate output (one character is >=90%% of it): %r" % p["answer"][:24]
display	scripts/lib/crux_openai_client.py|72931f36|0	out["error"] = "HTTP %s: %s" % (exc.code, exc.read().decode("utf-8", "replace")[:300])
display	scripts/lib/dogfood_coverage_gate.py|37f625cd|0	+ "\n".join(f" - {b}" for b in bad[:10]))
display	scripts/lib/dogfood_coverage_gate.py|5bcaa073|0	+ "\n".join(f" - {b}: {f}" for b, f in gone[:20])
display	scripts/lib/dogfood_coverage_gate.py|6ab190e6|0	+ "\n".join(f" - {g}" for g in gone[:10]))
display	scripts/lib/dogfood_coverage_gate.py|7437edb6|0	+ "\n".join(f" - {w}" for w in wrong[:20]))
display	scripts/lib/dogfood_coverage_gate.py|b2cca5e8|0	+ "\n".join(f" - {b}" for b in blank[:10]))
display	scripts/lib/dogfood_coverage_gate.py|b471bf1d|0	+ "\n".join(f" | {ln.rstrip()}" for ln in offenders[:10]))
