# guard_mutation_score for scripts/check_pr_review_receipt.sh at PRREV-009
# produced by: scripts/mutate-guard.sh --jobs 8
baseline GREEN: 86 tests, 0 failures
reject-30-drop                           drop  L253  KILLED    probe mutation.attempted is not a count                         RED  B1
reject-30-flip                           flip  L253  KILLED    probe mutation.attempted is not a count                         RED  B1
reject-31-drop                           drop  L256  KILLED    row 2  mutation.attempted 0 with status consulted                 RED  B1
== guard_mutation_score ==
attempted 139   killed 139   survived 0   invalid 0
guard_mutation_score = 100% (139/139)
# guard sha256 the sweep ran against:
#   36de09bef4442461e242fb7cca9f4f1cfdbce54f8a6a73a397b4822e9e82c41c  scripts/check_pr_review_receipt.sh
#   11e52c9a514c60eb6c666665d57902caea1016084f6165d967994e7940537988  tests/pr-review.bats
#   d8e71cc0dc346c5e6c9aa0a31c5e440cbd62ba111d82b29d3863fe7e57d385c0  scripts/pr_review_duplication_scan.sh

id	op	line	verdict	rc	failing_tests	killed_by	mutated_line
batch-status-not-accumulated	text	615	KILLED	1	59	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	    RC=$RC
comparative-predicate-verdict-not-propagated	text	79	KILLED	1	1	S3.C.1 comparative-claim detection matches its case table, both polarities	  --match-comparative) match_comparative  "${2?--match-comparative needs an argument}"; exit 1 ;;
comparative-regex-matches-everything	text	70	KILLED	1	1	S3.C.1 comparative-claim detection matches its case table, both polarities	COMPARATIVE_RE='(.)'
comparative-regex-never-matches	text	70	KILLED	1	2	S3.C.1 comparative-claim detection matches its case table, both polarities	COMPARATIVE_RE='(^$)'
comparator-misclassified-B1	text	439	KILLED	1	1	row 4  comparative claim with no comparator command or hash       RED  B4	    reject B1 "$claim" || return 1
control-1-unarmed	text	570	KILLED	1	1	S6.1 the schema-depth control is measured against the VENDORED schema	run_control schema-invalid B1 "fails schemas/in-toto-statement-v1.json" "$PC1" || true
control-2-unarmed	text	594	KILLED	1	3	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	seeded_control self-review     self-review     B2 "reviewer_actor.id ="        || true
control-3-unarmed	text	595	KILLED	1	2	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	seeded_control findings-digest findings-digest B1 "findings_ref.sha256"        || true
control-4-unarmed	text	596	KILLED	1	1	S6.1 EVERY control stops the run when it misfires, not just the first	seeded_control cost-missing    cost-missing    B1 "predicate.cost must carry"  || true
control-acceptance-ignored	text	525	KILLED	1	1	S6.1 a positive control that is ACCEPTED fails the whole run	  if validate_receipt "$dir" && false; then
control-class-unasserted	text	534	KILLED	1	1	S6.1 a control rejected under the wrong CLASS is a MISFIRE, not a pass	  if false; then
control-fixture-absence-ignored	text	578	KILLED	1	1	S6.1 the guard refuses to run at all when a positive-control fixture is gone	  if false; then
control-reason-unasserted	text	545	KILLED	1	3	S6.1 a control rejected under the right class but the wrong BRANCH is a MISFIRE	    *) ;;
cuda-message-regex-matches-everything	text	65	KILLED	1	12	S6.1 all four positive controls fire before anything is validated	CUDA_MSG_RE='(.)'
cuda-message-regex-never-matches	text	65	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	CUDA_MSG_RE='(^$)'
cuda-path-regex-matches-everything	text	55	KILLED	1	12	S6.1 all four positive controls fire before anything is validated	CUDA_PATH_RE='(.)'
cuda-path-regex-never-matches	text	55	KILLED	1	2	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	CUDA_PATH_RE='(^$)'
final-status-always-zero	text	618	KILLED	1	59	row 1  cuda not-triggered on a diff touching src/cuda/            RED  B1	exit 0
message-predicate-verdict-not-propagated	text	78	KILLED	1	1	S3.B CUDA message trigger matches its case table, both polarities	  --match-message)     match_cuda_message "${2?--match-message needs an argument}";     exit 1 ;;
path-predicate-verdict-not-propagated	text	77	KILLED	1	1	S3.B CUDA path trigger matches its case table, both polarities	  --match-path)        match_cuda_path    "${2?--match-path needs an argument}";        exit 1 ;;
reject-01-drop	drop	130	KILLED	1	1	a receipt directory that does not exist is RED, not skipped	  [ -d "$dir" ]   || true B1 "no such receipt directory: $dir" || return 1
reject-01-flip	flip	130	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -d "$dir" ]   || reject B1 "no such receipt directory: $dir" && return 1
reject-02-drop	drop	131	KILLED	1	2	a missing receipt is RED, not skipped	  [ -f "$rcpt" ]  || true B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" || return 1
reject-02-flip	flip	131	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -f "$rcpt" ]  || reject B1 "receipt.intoto.jsonl is missing - a missing receipt is RED, not skipped, per S6.3" && return 1
reject-03-drop	drop	132	KILLED	1	1	probe findings.sarif absent                                     RED  B1	  [ -f "$sarif" ] || true B1 "findings.sarif is missing" || return 1
reject-03-flip	flip	132	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  [ -f "$sarif" ] || reject B1 "findings.sarif is missing" && return 1
reject-04-drop	drop	146	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    true B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" || return 1
reject-04-flip	flip	146	KILLED	1	1	probe receipt holding two JSON records is not JSON Lines        RED  B1	    reject B1 "receipt.intoto.jsonl holds $records JSON record/s; the in-toto Statement must be exactly one" && return 1
reject-05-drop	drop	148	KILLED	1	1	probe receipt that is not parseable JSON                        RED  B1	  jq -e . "$rcpt"  >/dev/null 2>&1 || true B1 "receipt.intoto.jsonl is not parseable JSON" || return 1
reject-05-flip	flip	148	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  jq -e . "$rcpt"  >/dev/null 2>&1 || reject B1 "receipt.intoto.jsonl is not parseable JSON" && return 1
reject-06-drop	drop	149	KILLED	1	1	probe findings.sarif that is not parseable JSON                 RED  B1	  jq -e . "$sarif" >/dev/null 2>&1 || true B1 "findings.sarif is not parseable JSON" || return 1
reject-06-flip	flip	149	KILLED	1	72	S6.1 all four positive controls fire before anything is validated	  jq -e . "$sarif" >/dev/null 2>&1 || reject B1 "findings.sarif is not parseable JSON" && return 1
reject-07-drop	drop	154	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	    true B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-07-flip	flip	154	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	    reject B1 "receipt fails schemas/in-toto-statement-v1.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-08-drop	drop	157	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    true B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" || return 1
reject-08-flip	flip	157	KILLED	1	1	probe findings.sarif that parses but fails the SARIF schema     RED  B1	    reject B1 "findings.sarif fails schemas/sarif-2.1.0.json: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-220)" && return 1
reject-09-drop	drop	163	KILLED	1	1	probe the public key is absent                                  RED  B1	  [ -f "$PUBKEY" ] || true B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" || return 1
reject-09-flip	flip	163	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ -f "$PUBKEY" ] || reject B1 "public key $PUBKEY is absent; an unverifiable signature is not a verified one" && return 1
reject-10-drop	drop	164	KILLED	1	1	probe the receipt carries no signature at all                   RED  B1	  [ -f "$sig" ]    || true B1 "receipt is unsigned - no $sig" || return 1
reject-10-flip	flip	164	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ -f "$sig" ]    || reject B1 "receipt is unsigned - no $sig" && return 1
reject-11-drop	drop	166	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    true B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" || return 1
reject-11-flip	flip	166	KILLED	1	1	row 13 valid receipt, invalid signature                           RED  B1	    reject B1 "signature does not verify against $PUBKEY: $(printf '%s' "$sout" | tr '\n' ' ' | cut -c1-160)" && return 1
reject-12-drop	drop	172	KILLED	1	1	probe predicateType is some other attestation                   RED  B1	  [ "$ptype" = "$PREDICATE_TYPE" ] || true B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" || return 1
reject-12-flip	flip	172	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ "$ptype" = "$PREDICATE_TYPE" ] || reject B1 "predicateType is '$ptype', expected '$PREDICATE_TYPE'" && return 1
reject-13-drop	drop	175	KILLED	1	1	probe attestation_level claims more than L1-self                RED  B1	  [ "$alevel" = "L1-self" ] || true B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" || return 1
reject-13-flip	flip	175	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ "$alevel" = "L1-self" ] || reject B1 "attestation_level is '$alevel'; a skill invoked by the authoring agent is self-attestation, and R1 requires it to say so" && return 1
reject-14-drop	drop	184	KILLED	1	1	probe head_sha is absent                                        RED  B1	  [ -n "$head" ] || true B1 "predicate.head_sha is absent" || return 1
reject-14-flip	flip	184	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ -n "$head" ] || reject B1 "predicate.head_sha is absent" && return 1
reject-15-drop	drop	185	KILLED	1	1	probe base_sha is absent                                        RED  B1	  [ -n "$base" ] || true B1 "predicate.base_sha is absent" || return 1
reject-15-flip	flip	185	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ -n "$base" ] || reject B1 "predicate.base_sha is absent" && return 1
reject-16-drop	drop	186	KILLED	1	1	probe the subject digest is not the head the predicate reviews  RED  B1	  [ "$subj_sha" = "$head" ] || true B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" || return 1
reject-16-flip	flip	186	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ "$subj_sha" = "$head" ] || reject B1 "the sha1 digest of subject 0 is $subj_sha but the predicate reviews head_sha $head" && return 1
reject-17-drop	drop	188	KILLED	1	1	probe verdict outside the four defined values                   RED  B1	    || true B1 "verdict '$verdict' is outside { PASS FINDINGS DEGRADED BLOCK }" || return 1
reject-17-flip	flip	188	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	    || reject B1 "verdict '$verdict' is outside { PASS FINDINGS DEGRADED BLOCK }" && return 1
reject-18-drop	drop	194	KILLED	1	1	probe findings_ref.path points somewhere else                   RED  B1	  [ "$fref_path" = "findings.sarif" ] || true B1 "findings_ref.path is '$fref_path', expected 'findings.sarif'" || return 1
reject-18-flip	flip	194	KILLED	1	71	S6.1 all four positive controls fire before anything is validated	  [ "$fref_path" = "findings.sarif" ] || reject B1 "findings_ref.path is '$fref_path', expected 'findings.sarif'" && return 1
reject-19-drop	drop	197	KILLED	1	68	S6.1 all four positive controls fire before anything is validated	    || true B1 "findings_ref.sha256 ($fref_sha) is not sha256(findings.sarif) ($actual_sha)" || return 1
reject-19-flip	flip	197	KILLED	1	70	S6.1 all four positive controls fire before anything is validated	    || reject B1 "findings_ref.sha256 ($fref_sha) is not sha256(findings.sarif) ($actual_sha)" && return 1
reject-20-drop	drop	202	KILLED	1	67	S6.1 all four positive controls fire before anything is validated	    || true B1 "predicate.cost must carry numeric input_tokens, output_tokens and wall_seconds; record-only is not unenforced" || return 1
reject-20-flip	flip	202	KILLED	1	70	S6.1 all four positive controls fire before anything is validated	    || reject B1 "predicate.cost must carry numeric input_tokens, output_tokens and wall_seconds; record-only is not unenforced" && return 1
