label	pos	token_id	tensor	layer	layer_type	llama_l2	apr_l2	cos	max_abs_diff	rel_l2	status	note
orig	4	33075	model.input_embed	-1	-	0.581084	0.581084	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
orig	4	33075	l_out-0	0	linear_gated_deltanet	1.476802	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-1	1	linear_gated_deltanet	1.613484	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-2	2	linear_gated_deltanet	1.970860	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-3	3	full_attention	1.954784	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-4	4	linear_gated_deltanet	1.905348	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-5	5	linear_gated_deltanet	1.987986	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-6	6	linear_gated_deltanet	2.356833	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-7	7	full_attention	2.131098	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-8	8	linear_gated_deltanet	2.110488	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-9	9	linear_gated_deltanet	2.151970	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-10	10	linear_gated_deltanet	2.298520	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-11	11	full_attention	2.319182	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-12	12	linear_gated_deltanet	2.439611	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-13	13	linear_gated_deltanet	2.710563	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-14	14	linear_gated_deltanet	3.786978	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-15	15	full_attention	4.364679	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-16	16	linear_gated_deltanet	4.791490	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-17	17	linear_gated_deltanet	5.636497	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-18	18	linear_gated_deltanet	6.472342	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-19	19	full_attention	6.624490	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-20	20	linear_gated_deltanet	7.586380	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-21	21	linear_gated_deltanet	8.425709	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-22	22	linear_gated_deltanet	9.677657	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	l_out-23	23	full_attention	11.851602	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	result_norm	-1	-	127.502616	U	U	U	U	U	apr hidden state not reachable via public API
orig	4	33075	result_output	-1	-	1384.840386	1324.483456	0.994599	1.289022	0.110592	measured	
orig	28	1452	model.input_embed	-1	-	0.797134	0.797134	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
orig	28	1452	l_out-0	0	linear_gated_deltanet	1.198832	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-1	1	linear_gated_deltanet	1.585131	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-2	2	linear_gated_deltanet	1.757320	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-3	3	full_attention	1.828362	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-4	4	linear_gated_deltanet	1.827939	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-5	5	linear_gated_deltanet	2.125891	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-6	6	linear_gated_deltanet	2.313871	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-7	7	full_attention	2.322373	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-8	8	linear_gated_deltanet	2.309123	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-9	9	linear_gated_deltanet	2.480384	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-10	10	linear_gated_deltanet	2.494953	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-11	11	full_attention	2.492232	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-12	12	linear_gated_deltanet	2.666776	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-13	13	linear_gated_deltanet	2.847241	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-14	14	linear_gated_deltanet	3.548517	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-15	15	full_attention	3.944738	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-16	16	linear_gated_deltanet	4.757323	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-17	17	linear_gated_deltanet	5.382605	U	U	U	U	U	apr hidden state not reachable via public API
orig	28	1452	l_out-18	18	linear_gated_deltanet	6.264065	U	U	U	U	U	apr hidden state not reachable via public API
