label	pos	token_id	tensor	layer	layer_type	llama_l2	apr_l2	cos	max_abs_diff	rel_l2	status	note
p4	0	27	model.input_embed	-1	-	0.684652	0.684652	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	0	27	l_out-0	0	linear_gated_deltanet	1.865567	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-1	1	linear_gated_deltanet	2.175355	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-2	2	linear_gated_deltanet	2.539195	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-3	3	full_attention	3.298167	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-4	4	linear_gated_deltanet	3.263100	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-5	5	linear_gated_deltanet	3.193938	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-6	6	linear_gated_deltanet	12.993379	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-7	7	full_attention	7.445296	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-8	8	linear_gated_deltanet	7.352767	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-9	9	linear_gated_deltanet	7.228295	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-10	10	linear_gated_deltanet	7.800738	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-11	11	full_attention	4.068962	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-12	12	linear_gated_deltanet	3.426779	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-13	13	linear_gated_deltanet	3.389417	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-14	14	linear_gated_deltanet	19.125382	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-15	15	full_attention	3.951335	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-16	16	linear_gated_deltanet	4.046055	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-17	17	linear_gated_deltanet	4.248830	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-18	18	linear_gated_deltanet	6.242339	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-19	19	full_attention	5.505244	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-20	20	linear_gated_deltanet	5.985595	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-21	21	linear_gated_deltanet	6.629992	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-22	22	linear_gated_deltanet	8.023934	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	l_out-23	23	full_attention	10.679579	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	result_norm	-1	-	103.762194	U	U	U	U	U	apr hidden state not reachable via public API
p4	0	27	result_output	-1	-	1381.815468	1352.124331	0.995365	1.345827	0.097638	measured	
p4	1	91	model.input_embed	-1	-	0.722720	0.722720	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	1	91	l_out-0	0	linear_gated_deltanet	1.236561	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-1	1	linear_gated_deltanet	1.982743	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-2	2	linear_gated_deltanet	2.028842	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-3	3	full_attention	2.078183	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-4	4	linear_gated_deltanet	1.981653	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-5	5	linear_gated_deltanet	1.922751	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-6	6	linear_gated_deltanet	2.084024	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-7	7	full_attention	1.777105	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-8	8	linear_gated_deltanet	1.784891	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-9	9	linear_gated_deltanet	1.798328	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-10	10	linear_gated_deltanet	1.922930	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-11	11	full_attention	1.947752	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-12	12	linear_gated_deltanet	1.938245	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-13	13	linear_gated_deltanet	1.985621	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-14	14	linear_gated_deltanet	2.286522	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-15	15	full_attention	3.040222	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-16	16	linear_gated_deltanet	3.588972	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-17	17	linear_gated_deltanet	3.968595	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-18	18	linear_gated_deltanet	4.618303	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-19	19	full_attention	4.731449	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-20	20	linear_gated_deltanet	5.386482	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-21	21	linear_gated_deltanet	6.074206	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-22	22	linear_gated_deltanet	7.526479	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	l_out-23	23	full_attention	8.404483	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	result_norm	-1	-	140.059685	U	U	U	U	U	apr hidden state not reachable via public API
p4	1	91	result_output	-1	-	1480.352111	1480.945359	0.961309	4.114042	0.278233	measured	
p4	2	316	model.input_embed	-1	-	0.724005	0.724005	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	2	316	l_out-0	0	linear_gated_deltanet	1.179264	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-1	1	linear_gated_deltanet	1.466966	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-2	2	linear_gated_deltanet	1.544599	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-3	3	full_attention	1.623948	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-4	4	linear_gated_deltanet	1.624777	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-5	5	linear_gated_deltanet	1.659727	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-6	6	linear_gated_deltanet	1.999449	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-7	7	full_attention	1.877381	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-8	8	linear_gated_deltanet	1.752030	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-9	9	linear_gated_deltanet	1.782096	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-10	10	linear_gated_deltanet	1.686863	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-11	11	full_attention	1.832893	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-12	12	linear_gated_deltanet	1.777227	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-13	13	linear_gated_deltanet	1.954878	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-14	14	linear_gated_deltanet	2.435589	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-15	15	full_attention	2.821546	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-16	16	linear_gated_deltanet	3.820758	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-17	17	linear_gated_deltanet	4.129655	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-18	18	linear_gated_deltanet	4.861338	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-19	19	full_attention	4.998917	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-20	20	linear_gated_deltanet	5.732822	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-21	21	linear_gated_deltanet	6.808024	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-22	22	linear_gated_deltanet	8.189742	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	l_out-23	23	full_attention	9.066413	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	result_norm	-1	-	139.408850	U	U	U	U	U	apr hidden state not reachable via public API
p4	2	316	result_output	-1	-	1450.091321	1608.962343	0.973410	3.891595	0.266478	measured	
p4	3	4747	model.input_embed	-1	-	0.545349	0.545349	1.000000	0.000000	0.000000	measured	token_embd=Q6_K; ggufpy-vs-llama cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00; apr-vs-ggufpy cos=1.000000000 max_abs=0.000e+00 rel_l2=0.000e+00
p4	3	4747	l_out-0	0	linear_gated_deltanet	1.301625	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-1	1	linear_gated_deltanet	1.492978	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-2	2	linear_gated_deltanet	1.734504	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-3	3	full_attention	1.756719	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-4	4	linear_gated_deltanet	1.717777	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-5	5	linear_gated_deltanet	1.827377	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-6	6	linear_gated_deltanet	2.025005	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-7	7	full_attention	1.907646	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-8	8	linear_gated_deltanet	1.967670	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-9	9	linear_gated_deltanet	1.989873	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-10	10	linear_gated_deltanet	1.961743	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-11	11	full_attention	2.068774	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-12	12	linear_gated_deltanet	2.154821	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-13	13	linear_gated_deltanet	2.351870	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-14	14	linear_gated_deltanet	3.018713	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-15	15	full_attention	3.511557	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-16	16	linear_gated_deltanet	4.081130	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-17	17	linear_gated_deltanet	4.867647	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-18	18	linear_gated_deltanet	5.470380	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-19	19	full_attention	5.746317	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-20	20	linear_gated_deltanet	6.591932	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-21	21	linear_gated_deltanet	7.712539	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-22	22	linear_gated_deltanet	8.589632	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	l_out-23	23	full_attention	10.138523	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	result_norm	-1	-	128.933574	U	U	U	U	U	apr hidden state not reachable via public API
p4	3	4747	result_output	-1	-	1157.160434	1244.222984	0.981265	2.349122	0.214359	measured	
